language,size_bucket,repository,commit,path,bytes_before,bytes_after,file_size,lines_added,lines_removed,loc_changed
Rust,large,rustdesk-rustdesk.git,dd7a124334cfe926b0ba15a368a2e0d01f55fe95,src/lang/ru.rs,63633,63785,63785,4,4,8
Rust,large,rustdesk-rustdesk.git,ea74ed12b8628a326e1f521f534ed028f1e92e93,src/lang/de.rs,46122,46966,46966,19,19,38
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/core_main.rs,27119,27217,27217,3,2,5
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/lang/en.rs,18980,19254,19254,3,0,3
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/lang/lt.rs,36054,36351,36351,5,0,5
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/lang/nl.rs,42137,42419,42419,5,0,5
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/lang/template.rs,22814,23005,23005,5,0,5
Rust,large,rustdesk-rustdesk.git,f0f999dc279b1d34683549431a7d60020e5f8174,src/lang/tr.rs,35615,35828,35828,5,0,5
Rust,large,rustdesk-rustdesk.git,f4bbf82363d78e35d0a61a0c2b82906822256867,src/lang/eu.rs,41483,42190,42190,17,0,17
Rust,large,rustdesk-rustdesk.git,f4bbf82363d78e35d0a61a0c2b82906822256867,src/lang/hr.rs,39907,40614,40614,17,0,17
Rust,large,rustdesk-rustdesk.git,f4bbf82363d78e35d0a61a0c2b82906822256867,src/lang/it.rs,43438,44145,44145,17,0,17
Rust,large,rustdesk-rustdesk.git,f4bbf82363d78e35d0a61a0c2b82906822256867,src/lang/sl.rs,41555,42262,42262,17,0,17
Rust,large,rustdesk-rustdesk.git,fef44ffa57d626a02e61f440a9d438b05698232b,src/lang/da.rs,44071,44078,44078,1,1,2
Rust,large,tauri-apps-tauri.git,058c0db72f43fbe1574d0db654560e693755cd7e,crates/tauri-bundler/src/bundle/windows/nsis/mod.rs,23030,23028,23030,2,2,4
Rust,large,tauri-apps-tauri.git,069c05e44fd6f30083fdc00dd6c0001278898592,crates/tauri-cli/src/interface/rust.rs,48872,48598,48872,2,14,16
Rust,large,tauri-apps-tauri.git,0aa48fb9e4b9d7b5bf3522000a76ebc1836394ed,crates/tauri-bundler/src/bundle/settings.rs,42425,42899,42899,16,0,16
Rust,large,tauri-apps-tauri.git,0aa48fb9e4b9d7b5bf3522000a76ebc1836394ed,crates/tauri-cli/src/mobile/ios/dev.rs,10308,10309,10309,1,1,2
Rust,large,tauri-apps-tauri.git,100a4455aa48df508510bbc08273215bdf70c012,crates/tauri-cli/src/migrate/migrations/v1/frontend.rs,20870,20805,20870,1,4,5
Rust,large,tauri-apps-tauri.git,22d6bcacbb2001eb292ebd8c5d021447700f9512,crates/tauri/src/app.rs,81164,81491,81491,11,0,11
Rust,large,tauri-apps-tauri.git,3a4e165b6f1f0aaeb3d7f8a336f34b7dc777092d,crates/tauri-cli/src/mobile/ios/build.rs,17477,17655,17655,6,1,7
Rust,large,tauri-apps-tauri.git,3b4fac2017832d426dd07c5e24e26684eda57f7b,crates/tauri-cli/src/mobile/android/dev.rs,11896,12025,12025,4,2,6
Rust,large,tauri-apps-tauri.git,4078923f6b501f34eb880da014793bef533d5999,crates/tauri-cli/src/interface/rust.rs,48839,48872,48872,9,10,19
Rust,large,tauri-apps-tauri.git,414619c36e94e21939534dd72c0438b93da75546,crates/tauri-bundler/src/bundle/macos/app.rs,16821,16963,16963,9,1,10
Rust,large,tauri-apps-tauri.git,5110a762e9db978a28a15400bf76e3c864da2a86,crates/tauri-runtime/src/lib.rs,31403,31497,31497,3,0,3
Rust,large,tauri-apps-tauri.git,5188c0fae2bb47e40d09f70bf308c300045a2e2b,crates/tauri/src/scope/fs.rs,21331,22096,22096,38,14,52
Rust,large,tauri-apps-tauri.git,54cbf59b5a572570a47237a3b5e6505f2a9e5d5d,crates/tauri/src/menu/plugin.rs,24707,24764,24764,2,1,3
Rust,large,tauri-apps-tauri.git,5621174b05f615e1589292ccd3954dc7e6b5569f,crates/tauri/src/ipc/authority.rs,33385,36435,36435,108,0,108
Rust,large,tauri-apps-tauri.git,574a4d4d36762b5b09dc3fcfcbcae3a0df0b6d89,crates/tauri-cli/src/interface/rust/manifest.rs,14387,14294,14387,4,7,11
Rust,large,tauri-apps-tauri.git,63649d82d20b8f69d973b41bd0c157997770d6a0,crates/tauri-utils/src/resources.rs,18195,18172,18195,0,2,2
Rust,large,tauri-apps-tauri.git,68d4460361870c3835090c88e884e9c13ae54f7d,crates/tauri/src/ipc/mod.rs,14244,14718,14718,8,1,9
Rust,large,tauri-apps-tauri.git,6cbfc4878df9c8f9910f2a6cb1ff8c2c053eeae6,crates/tauri/src/manager/webview.rs,22121,22208,22208,16,11,27
Rust,large,tauri-apps-tauri.git,7f7d9aac214e22d9492490543f7a9bcae0a6659e,crates/tauri-cli/src/interface/rust/desktop.rs,13004,13065,13065,5,4,9
Rust,large,tauri-apps-tauri.git,882b0aded16bb3dd44e3233d1ec56c33f1d830a7,crates/tauri-bundler/src/bundle/settings.rs,42289,42294,42294,1,1,2
Rust,large,tauri-apps-tauri.git,89e30ef20d356d5f7cf9d49cc4b179bd327db6dc,crates/tauri/src/webview/mod.rs,58474,58400,58474,1,2,3
Rust,large,tauri-apps-tauri.git,a09e48e396fafdb7eaa9afff76c1ac3b5166a05a,crates/tauri/src/menu/mod.rs,23731,23738,23738,1,1,2
Rust,large,tauri-apps-tauri.git,a9ec12843aa7d0eb774bd3a53e2e63da12cfa77b,crates/tauri-bundler/src/bundle/settings.rs,43582,44158,44158,9,0,9
Rust,large,tauri-apps-tauri.git,b06b3bd091b0fed26cdcfb23cacb0462a7a9cc2d,crates/tauri-cli/src/helpers/pbxproj.rs,10035,10134,10134,5,2,7
Rust,large,tauri-apps-tauri.git,b52da29d5dbdb675ddba438a335e6a59f620e536,crates/tauri-utils/src/resources.rs,18082,18177,18177,13,11,24
Rust,large,tauri-apps-tauri.git,be2e6b85fed226732b4a98f68cc5d72b4f8f5a13,crates/tauri/src/window/plugin.rs,10820,10903,10903,2,0,2
Rust,large,tauri-apps-tauri.git,c33bbf45740274b6918ea6c647f366fb6008e459,crates/tauri-utils/src/acl/schema.rs,11698,11742,11742,2,2,4
Rust,large,tauri-apps-tauri.git,d609bef9fd7cd6eeb2bd701558100bd9cfb6e6f6,crates/tauri/build.rs,13577,13538,13577,9,11,20
Rust,large,tauri-apps-tauri.git,dd4f13ce4b3cd89cde2fa3f18a063c272f215621,crates/tauri/src/app.rs,79428,80556,80556,41,0,41
Rust,large,tauri-apps-tauri.git,e0d1307d3f78987d0059921a5ab01ea4b26e0ef1,crates/tauri-cli/src/migrate/migrations/v1/config.rs,37043,37457,37457,13,0,13
Rust,large,tauri-apps-tauri.git,e3fdcb5002b362b46cde2a1971e4e7f2a1161208,crates/tauri-cli/src/mobile/mod.rs,18395,18258,18395,4,9,13
Rust,large,torvalds-linux.git,fdbaa9d2b78e0da9e1aeb303bbdc3adfe6d8e749,rust/pin-init/internal/src/init.rs,19341,19003,19341,7,15,22
Rust,large,vercel-next.js.git,1637d61731065b5ad5705c159967f213c3cf624d,turbopack/crates/turbo-tasks-backend/src/backend/storage.rs,13970,15020,15020,28,8,36
Rust,large,vercel-next.js.git,24c6e3e4de2e729c7e71d38173466cf9cf3d5399,turbopack/crates/turbopack-core/src/chunk/chunking_context.rs,25214,25477,25477,4,0,4
Rust,large,vercel-next.js.git,34fdcbb422af467be0701f8cf8c03564bf373988,turbopack/crates/turbo-tasks-backend/src/backend/operation/mod.rs,41428,42309,42309,37,20,57
Rust,large,vercel-next.js.git,4674a4358739f2e203a445a33bc3672fc499f615,turbopack/crates/turbo-tasks/src/priority_runner.rs,22469,27042,27042,190,60,250
Rust,large,vercel-next.js.git,4de2201764a31ecb45f02c1024bfb145496b1520,turbopack/crates/turbo-tasks-backend/src/backend/storage.rs,16385,19089,19089,125,50,175
Rust,large,vercel-next.js.git,7b2c80e24ab4609041bd9b2f31a2bc76e3ebca01,turbopack/crates/turbopack-core/src/chunk/chunk_group.rs,19487,18454,19487,9,34,43
