language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations,exit_status
Python,,ispell-lt-ispell-lt,fefed2faad8759cc2a42e4acf6d49725562349a2,tools/sutrauka.py,0,0,0,0,failed_to_read,,,,,
HTML,,jaafreitas-mkgallery,f0e241b74ddfc504e29aefd9fe2b1cfe3d471e50,docs/Thanks.html,0,0,0,0,failed_to_read,,,,,
Kotlin,,junit-pioneer-junit-pioneer,621e808f1954ec7606269b58eccad6fd7df23159,build.gradle.kts,0,0,0,0,failed_to_read,,,,,
Kotlin,,junit-pioneer-junit-pioneer,bdd0fbc0c75b2a697d414a8da80c9f6e294bce68,build.gradle.kts,0,0,0,0,failed_to_read,,,,,
ShellScript,,keis-git-fixup,71c2f121c4688a1f19adb47226b0ea50dea6be4f,completion.zsh,0,0,0,0,failed_to_read,,,,,
C,,kraxel-fbida,1bb8a8aa29845378903f3c690e17c0867c820da2,filter.c,0,0,0,0,failed_to_read,,,,,
C,,laurikari-tre,354c9168b774ac8fa09a4e7b9728d983aac10baf,tests/retest.c,0,0,0,0,failed_to_read,,,,,
C,,libnet-libnet,3be3dbefe93be4cacebf5c660f149160390887b9,src/libnet_build_gre.c,0,0,0,0,failed_to_read,,,,,
CPP,,madmartin-noad,af5695cc068bde5331e6292bdcf04137573dbea9,noad.cpp,0,0,0,0,failed_to_read,,,,,
CPP,,madmartin-noad,7165088f54b0d134451b4424ac579630b8908707,vdr_cl.cpp,0,0,0,0,failed_to_read,,,,,
C,,madmartin-vdr-clock,e65ea946ac6c533d7e7994b644886b9ea44fd2ca,i18n.c,0,0,0,0,failed_to_read,,,,,
ShellScript,,mafredri-zsh-async,3ba6e2d1ea874bfb6badb8522ab86c1ae272923d,async.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,mafredri-zsh-async,50d34cd0d9b90a0f6ed3c958737eeeb46bd63625,async.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,mafredri-zsh-async,32548d3c3f1361de57f09ab9293c902b78f49b55,async_test.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,mafredri-zsh-async,4c2e4130100771428e78d97d813064106a9a1458,async.zsh,0,0,0,0,failed_to_read,,,,,
ShellScript,,mafredri-zsh-async,870f351bf157332c5c6c5392317e0b9a8ccb7ab0,async.zsh,0,0,0,0,failed_to_read,,,,,
C,,magnush-mhwaveedit,3d6e3d53adb59de8c59384d28ca2f95c49bb0a6c,src/mainwindow.c,0,0,0,0,failed_to_read,,,,,
C,,magnush-mhwaveedit,3515ff1a108f3ec535d6c7f590729b3e315f3917,src/chunk.h,0,0,0,0,failed_to_read,,,,,
C,,magnush-mhwaveedit,3515ff1a108f3ec535d6c7f590729b3e315f3917,src/player.c,0,0,0,0,failed_to_read,,,,,
C,,markusfisch-PieDock,3724cde2d77748c8ea0b519061a98e5d9d8f6380,src/ArgbSurface.h,0,0,0,0,failed_to_read,,,,,
