language,size_bucket,repository,commit,path,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms,peak_memory_bytes,total_allocated_bytes,mapping_operations
CSharp,,stratified,,csharp-radarr-radarr-add-one-using,20152,20186,6977,6987,ok,14.867270999999999,1767552,6499322,6987
CSharp,,stratified,,csharp-radarr-radarr-add-one-using-2,1012,1046,207,217,ok,0.466732,55808,234876,217
CSharp,,stratified,,csharp-radarr-radarr-add-property,836,868,172,181,ok,0.779211,126252,402762,181
CSharp,,stratified,,csharp-radarr-radarr-add-to-end-of-regex,34255,34267,6669,6669,ok,14.641774,1767552,6685244,6669
CSharp,,stratified,,csharp-radarr-radarr-remove-import-and-func,721,407,183,108,ok,1.215581,155016,459097,183
CSharp,,small,,csharp-sonarr-add-if-block,11246,11354,2493,2512,ok,5.648066,884864,3429428,2512
CSharp,,small,,csharp-sonarr-add-true-to-function-call,4086,4092,1075,1079,ok,3.751258,555816,2074010,1079
CSharp,,small,,csharp-sonarr-change-type,1194,1210,299,299,ok,0.5867939999999999,110976,385094,299
CSharp,,stratified,,csharp-sonarr-sonarr-add-attribute,137,158,34,39,ok,0.253638,25608,140328,39
CSharp,,stratified,,csharp-sonarr-sonarr-add-attribute-2,138,159,34,39,ok,0.24108,25610,140332,39
CSharp,,stratified,,csharp-sonarr-sonarr-add-func,690,745,204,218,ok,13.134308,1539372,4869652,218
CSharp,,stratified,,csharp-sonarr-sonarr-add-import-and-annotation,167,237,40,57,ok,0.822503,122016,350595,57
CSharp,,stratified,,csharp-sonarr-sonarr-add-list-item,263,291,41,44,ok,0.598046,105698,312904,44
CSharp,,stratified,,csharp-sonarr-sonarr-add-two-attributes,42313,42377,9915,9953,ok,52.99137,6196238,22658332,9953
CSharp,,stratified,,csharp-sonarr-sonarr-add-two-items-to-list,8426,8680,2653,2721,ok,5.12906,884864,2591622,2721
CSharp,,stratified,,csharp-sonarr-sonarr-delete-func,681,494,135,97,ok,4.3442929999999995,481442,1429786,135
CSharp,,stratified,,csharp-sonarr-sonarr-fix-comment-typo,12001,11998,2254,2254,ok,4.00094,884864,2954970,2254
CSharp,,stratified,,csharp-sonarr-sonarr-update-regex,71164,71194,9924,9924,ok,24.013032,3539072,12137044,9924
CSharp,,stratified,,csharp-sonarr-sonarr-use-a-different-class,942,1036,197,203,ok,3.952815,341724,1323280,203
CSharp,,full,,csharp-valvesoftware-openvr-add-many-constants-and-fields,345003,346593,73036,73298,ok,398.34646299999997,28262528,101139958,73298
CSharp,,full,,csharp-waf-csharprepl-update-string-URL,9730,9731,2305,2305,ok,4.4164069999999995,883840,2942358,2305
CSS,,small,,css-add-property,494,515,126,131,ok,0.490497,83018,312250,131
CSS,,stratified,,css-facebook-react-add-two-selectors,1229,1349,328,350,ok,1.2526110000000001,224984,775752,350
CSS,,full,,css-fortawesome-font-awesome-update-version-comment-2,1690,1690,364,364,ok,0.532199,114560,547370,364
CSS,,full,,css-fortawesome-font-awesome-update-version-comment-3,21210,21210,10400,10400,ok,17.765279,3539072,12340874,10400
CSS,,full,,css-fortawesome-font-awesome-upgrade-version-comment,1408,1408,447,447,ok,0.757447,110976,427168,447
CSS,,stratified,,css-gorhill-ublock-add-one-attribute,2627,2667,720,730,ok,2.737353,504644,1489680,730
CSS,,full,,css-heroic-games-launcher-heroicgameslauncher-add-6-lines,930,1054,264,295,ok,0.530765,110976,396504,295
CSS,,full,,css-horst3180-vertex-theme-add-spaces-to-change-class-selector-into-descendant-selectors,300061,300071,102569,102577,ok,330.865473,28278912,104251928,102593
CSS,,full,,css-horst3180-vertex-theme-remove-single-rule,271759,271648,91448,91408,ok,323.70883299999997,28278912,100004648,91448
CSS,,full,,css-lassekongo83-zuki-themes-fails-to-parse,3222,3239,858,862,ok,3.338162,378660,1330196,863
CSS,,full,,css-madmaxms-theme-obsidian-2-add-gnome-44-and-a-few-changes,121175,125173,34513,35721,ok,107.239353,14139520,47846370,35734
CSS,,stratified,,css-mastodon-mastodon-add-two-lines,5930,6000,1470,1482,ok,4.082027,590304,3031198,1482
CSS,,stratified,,css-microsoft-vscode-remove-one-line,2824,2738,684,665,ok,1.911386,334910,1166842,684
CSS,,small,,css-mozilla-firefox-firefox-actual-style-changes,11304,10903,2591,2494,ok,7.078938,884864,4187763,2673
CSS,,stratified,,css-nextcloud-server-update-import,623,626,86,86,ok,0.13519899999999999,28224,103018,86
CSS,,small,,css-playwright-add-class-selector,1974,2000,400,405,ok,0.954326,132402,538908,405
CSS,,stratified,,css-shadcn-ui-ui-add-two-bytes,9558,9560,2639,2639,ok,4.180930999999999,884864,2988932,2639
CSS,,small,,css-shadcn-ui-ui-completely-broken-treesitter-parsing,55049,55086,16334,16348,ok,69.15106999999999,7928448,36095046,16463
CSS,,full,,css-source-foundry-hack-change-font-string,1090,1089,259,259,ok,0.549906,110976,345572,259
CSS,,stratified,,css-twbs-bootstrap-parse-errors,1305,1314,343,347,ok,1.420693,174386,617559,360
CSS,,small,,css-wordpress-add-comment,2764,2940,346,347,ok,0.7567659999999999,111488,455808,347
CSS,,small,,css-wordpress-format-comment-and-fix,176,1789,77,115,ok,2.6646009999999998,440964,1161092,117
CSS,,small,,css-wordpress-reformat,339,389,94,98,ok,2.758459,445596,999588,98
CSS,,small,,css-wordpress-smalll-change,5887,5877,1693,1693,ok,3.7371040000000004,581044,2232014,1698
CSS,,small,,css-wordpress-wordpress-autogenerated-file,23516,23505,8440,8430,ok,21.747217,3534976,12535722,8450
CSS,,stratified,,css-wordpress-wordpress-change-comment,20517,20526,5825,5825,ok,14.875502000000001,2359152,11868438,5825
CSS,,small,,css-wordpress-wordpress-change-simple-values-to-vars,5935,6002,1702,1716,ok,3.36288,489108,2059462,1716
CSS,,stratified,,css-wordpress-wordpress-go-to-one-line,64,56,25,24,ok,0.216171,44318,121234,25
CSS,,stratified,,css-wordpress-wordpress-one-line-to-multiline,196,272,69,74,ok,1.5162140000000002,270234,660741,74
CSS,,stratified,,css-wordpress-wordpress-re-format-in-one-line,130,116,44,43,ok,0.598418,112850,327118,44
CSS,,stratified,,css-wordpress-wordpress-reformat-and-fix-lint-errors,124,140,38,42,ok,0.555804,99356,280620,42
CSS,,stratified,,css-wordpress-wordpress-remove-one-line,2471,2456,694,689,ok,1.896332,319458,1122640,694
CSS,,stratified,,css-wordpress-wordpress-remove-one-rule,568,503,203,179,ok,0.34552900000000003,55552,209612,203
CSS,,stratified,,css-wordpress-wordpress-remove-webkit-prefix,2073,2065,740,740,ok,1.101042,221312,790852,740
CSS,,stratified,,css-wordpress-wordpress-rename-attribute,357,354,98,98,ok,0.14998999999999998,27968,107060,98
Go,,small,,go-caddy-rename-type,1858,1858,507,507,ok,0.951457,221824,720546,507
Go,,stratified,,go-caddyserver-caddy-multiple-solutions-interesting-case,55154,55147,13939,13934,ok,123.596709,6659070,23747577,13946
Go,,full,,go-cloudflare-cfssl-change-zero-value-to-is-zero,9226,9218,1371,1365,ok,20.562598,1673826,5085496,1377
Go,,full,,go-containers-storage-add-two-constants,36093,36177,7462,7472,ok,54.451057,3547264,12935610,7472
Go,,full,,go-cri-o-cri-o-change-importa,2227,2218,560,560,ok,1.068011,221824,779562,560
