language,size_bucket,repository,commit,path,loc_before,loc_after,loc_combined,bytes_before,bytes_after,ast_nodes_before,ast_nodes_after,status,elapsed_ms
Swift,300-1000,apple-swift-corelibs-libdispatch,b55398ed930b2a796177ca85964409460d25cbf7,src/swift/Wrapper.swift,339,343,682,9097,9197,2503,2537,ok,0.5343519999999999
Swift,300-1000,apple-swift-corelibs-libdispatch,e36dbdacc2bde0be92ec5d34938f8e69d18197dc,src/swift/Queue.swift,497,500,997,17669,17734,4198,4218,timed_out,
Swift,300-1000,apple-swift-corelibs-libdispatch,ee9c2b1f109344dc927a4bad397ca8f82801f239,src/swift/Data.swift,360,360,720,14618,14638,3431,3441,timed_out,
Swift,300-1000,dropbox-stone,40bd164ba24162dd6c78688d90976f54f0406dc9,stone/backends/swift_rsrc/StoneSerializers.swift,415,471,886,13223,16192,3539,4462,timed_out,
Swift,300-1000,sciapp-gr,f67203951e9a26be0928b323d9f7ac5a0ca7a201,lib/gr/swift/GR/GR/GR.swift,767,768,1535,21406,21432,9558,9565,ok,2.361475
Swift,300-1000,swift-emacs-swift-mode,8b5b45665e84e805c1f8edefecb80e0bf8c36e03,test/swift-files/indent/declarations.swift,912,921,1833,10288,10464,3098,3117,ok,13.590072
Swift,300-1000,swift-emacs-swift-mode,9e14a73c5bf682acce4d2eebef69871480c70aa4,test/swift-files/indent/identifiers.swift,343,350,693,4106,4259,1194,1213,timed_out,
Swift,300-1000,swift-emacs-swift-mode,c2fe47722fcab02a8bd40b443fc11687793591e9,test/swift-files/indent/declarations.swift,921,929,1850,10464,10544,3117,3139,ok,18.798789
Swift,300-1000,swift-emacs-swift-mode,cfae3b85ad09bd293df941261afbc21e41bbb5f8,test/swift-files/indent/strings.swift,350,352,702,6743,6787,1282,1298,timed_out,
Java,0-10,LMAX-Exchange-disruptor,63f9abca5228380202b44b44c2b166205179b1d1,src/main/java/module-info.java,7,5,12,234,135,57,49,ok,1.2647050000000002
Java,0-10,LMAX-Exchange-disruptor,f87cba54661cf95ce325a4f0c669c2081036d597,src/main/java/com/lmax/disruptor/EventHandlerIdentity.java,5,5,10,74,71,24,19,ok,0.320501
Java,0-10,bigbass1997-NotEnoughProduction,af4f440a8af15272abbf607e1b108277f82dee10,core/src/main/java/com/bigbass/nep/gui/listeners/ScrollwheelInputAdapter.java,9,9,18,202,210,56,59,ok,3.6957880000000003
Java,0-10,bigbass1997-NotEnoughProduction,af4f440a8af15272abbf607e1b108277f82dee10,core/src/main/java/com/bigbass/nep/recipes/IRecipe.java,7,9,16,128,178,48,60,ok,3.3753580000000003
Java,0-10,cniweb-ant-contrib,123270fa9f876f60ad1f8ee09fdb697822d70f43,ant-contrib/src/main/java/net/sf/antcontrib/net/IvyAdapter.java,6,7,13,156,158,46,46,ok,0.049946
Java,0-10,dzaima-BQN,4d5ab8189dc94c3f759e5b0ec38100e7431854e6,src/BQN/tools/JFn.java,9,8,17,177,140,64,51,ok,1.418708
Java,0-10,eclipse-aspectj-aspectj,eb56b6e84e24e58f318fb92479f9d9e6fa4c866f,tests/bugs162/pr242797/case3/Type2.java,8,2,10,77,40,14,13,ok,0.131877
Java,0-10,fordfrog-apgdiff,c6c336e48fb6285b996f8f3bb178459ff332284c,src/main/java/cz/startnet/utils/pgdiff/loader/package-info.java,5,4,9,86,85,18,18,ok,0.005842
Java,0-10,fordfrog-apgdiff,c6c336e48fb6285b996f8f3bb178459ff332284c,src/main/java/cz/startnet/utils/pgdiff/parsers/package-info.java,5,4,9,102,101,18,18,ok,0.010438000000000001
Java,0-10,jmock-developers-jmock-library,21d00fc5812b6f31309b4c6acdefd1c50fe39943,jmock/src/main/java/org/jmock/api/ExpectationCollector.java,7,5,12,145,105,42,29,ok,0.55386
Java,0-10,jmock-developers-jmock-library,21d00fc5812b6f31309b4c6acdefd1c50fe39943,jmock/src/main/java/org/jmock/internal/ExpectationBuilder.java,7,8,15,181,224,46,59,ok,1.293966
Java,0-10,jmock-developers-jmock-library,50bfeef85754254b9fdfdea9145a4873df10bda5,testjar/src/main/java/org/jmock/testjar/ClassFromOtherClassLoader.java,4,6,10,77,105,20,30,ok,0.803477
Java,0-10,jmock-developers-jmock-library,b63ad56cee68db4074047e9a019733a2bd5d2059,jmock-junit5/src/test/java/org/jmock/junit5/testdata/jmock/acceptance/BaseClassWithMockery.java,9,9,18,244,261,70,76,ok,6.065327
Java,0-10,jmock-developers-jmock-library,faa2f1c6b558a67563d8c9333388271041c2f1a6,jmock/src/main/java/org/jmock/api/ThreadingPolicy.java,9,7,16,212,167,49,42,ok,2.523109
Java,0-10,jopt-simple-jopt-simple,bda404a5bba5e41338d2b17d0507499c0cb9f26a,src/test/java/net/sf/joptsimple/examples/Level.java,7,7,14,91,92,27,30,ok,1.079263
Java,0-10,junit-pioneer-junit-pioneer,ce8599db45d1e94ee6c1b807796fe049de28eccf,.infra/spotless/eclipse-public-license-2.0.java,9,9,18,314,309,2,2,ok,0.09164800000000001
Java,0-10,netplex-json-smart-v2,5efc9abca40632b3a95cce9222f2ae5fc8767bfb,accessors-smart/src/test/java/net/minidev/asm/bean/BBooleanPub.java,5,5,10,83,84,29,29,ok,0.022341
Java,0-10,netplex-json-smart-v2,5efc9abca40632b3a95cce9222f2ae5fc8767bfb,accessors-smart/src/test/java/net/minidev/asm/bean/BObjectPub.java,5,5,10,81,82,29,29,ok,0.022456999999999998
Java,0-10,netplex-json-smart-v2,5efc9abca40632b3a95cce9222f2ae5fc8767bfb,json-smart/src/main/java/net/minidev/json/reader/JsonWriterI.java,9,9,18,246,252,81,81,ok,0.058928999999999995
Java,0-10,raphw-asm-jdk-bridge,a8f2307174ebba94373a1b5785fa17e7111a4831,asm-jdk-bridge/src/main/java-9/module-info.java,3,4,7,68,107,23,33,ok,1.0327929999999999
Java,10-30,MiniDNS-minidns,8b7fd1f81993febaf4067299a1aca3eb8f4c07d2,minidns-dnssec/src/main/java/org/minidns/dnssec/SignatureVerifier.java,18,18,36,649,649,72,72,ok,7.955241999999999
Java,10-30,MiniDNS-minidns,c45a1cbec889cb0c3f54281c82dec3e9adc14fdc,minidns-dnssec/src/main/java/org/minidns/dnssec/algorithms/JavaSecDigestCalculator.java,29,29,58,921,921,134,134,ok,21.235468
